token_address,vol_24h,early_velocity_ratio,early_trade_dominance
0xdf98abe1eb7bee616d537aa014cf0f5eb9f21163,2079657.2144511756,1,0.026553234163609562
0x699e04f98de2fc395a7dcbf36b48ec837a976490,18591.68074423149,0.0008827473346117746,0.8098249020105623
0xedd854b662f979373cdd5c18d63eb06150e08c42,3093566.3077538842,1,0.024482536286546643
0x232813318895e9fe0abcdfbc2277a18903fa7db3,9424886.30225977,0.672555660978212,0.0019139655524447853
0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,0,0,
0x5b7533812759b45c2b44c19e320ba2cd2681b542,0,0,
0x8fcb2ea765184c38daee527205388ec5dcc1c91c,1357024.606819444,0.16600720233809368,0.005770185280180988
0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,0,0,
0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8,0,0,
0x555907a0b5c32df0feb35401187aed60a9191d74,0,0,
0x415a9560aca7ae3022e3c4e7bf1414125a1463ef,2331213.1270250054,0.9998413177405475,0.037405005268610174
0xff65912a160bd136ea03ad8549a19bbcabb721f9,2095084.5363087764,1,0.022419088273135174
0x8a446cd56e9097f31dfa3e5aadbec58f90510b4a,1109255.138327994,0.3477238874325798,0.011905688610848461
0x876647ed035a0d1f6ed20ed2db6e2c801de76f11,9563650.875964947,0.7288778626777882,0.0019440243561423807
0x964879abe1b07515c17f768b86cb1f33271df58a,5564425.07428271,0.9999698325150743,0.019691712616346977
0xa2c6be2c67739c2ad4722ebde8bb3751e6850b41,3552237.579764968,1,0.016130418513249315
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0,0,
0x826180541412d574cf1336d22c0c0a287822678a,0,0,
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,0,0,
0xc9faeba86e8567477783b8432945f131d84e3fda,291200.6633921565,0.1201492138006601,0.007879754861301737
0xc7eae11e9e03500461a0b9169addac8ae2f0e37d,2492883.435049321,0.7451757853247996,0.004511300737826048
0x098697ba3fee4ea76294c5d6a466a4e3b3e95fe6,1.02653162649,3.5871936237608463e-7,1
0x50dd9ce3e599c3209582f0429d6896ecc1dae732,871059.5062136652,0.05784399041310413,0.05317569677902818
0x0579587d66c949d3e76df778ba4c2c02e9506938,2269826.068063158,0.1896609743971479,0.016374859296552104
0xf4febb50f81a968a33d1d0844c2ce894f3828cfe,2898331.402713637,1,0.036960092521788654
0x4e5dadd4e0b8adb8bd9a5ddd9b17e0e0420e07d2,352136.33544716774,0.12172968734247978,0.042827673481838906
0xe30c2160b398695a98ad622f41952e592127e79d,4301953.514242363,0.691649913154077,0.001630309304097861
0x040040d73760d4d0f8c5c6c23f3978d685a358ae,4630885.091643145,0.8535254239776765,0.011405464298634206
0x71323b81a11a0fa5c454ba1f08c1a53b810d0e8c,2298083.558424736,0.9999996205444428,0.013506476758456959
0x27702a26126e0b3702af63ee09ac4d1a084ef628,0,0,
0xdbb5cf12408a3ac17d668037ce289f9ea75439d7,0,0,
0xf221207f16d8458523c7dc341883a7db2c80b1a5,2152519.9328356,1,0.03159004103943775
0xe82f35d1d2042fd8845cb9de5473af42b14143bb,12099846.84962203,0.9999998482890913,0.017713488209754113
0x8528b061059b01dd93a1eae4c07b3ffef27e7ce5,3314994.4833943425,0.9999969478636398,0.011998454777744203
0xc07a7a5dd4b906955b312a0a06df9d34f8fa1df4,10475586.354027592,0.9505042557644913,0.0036209076538256594
0x0cf3d7bc02fe838549a653011ef1dd3ad551b152,3919107.6352940523,0.9999989987960155,0.008149349296957244
0x57f7229fd3a611542c73bbd4a5ffbb41b0cd6776,0,0,
0x64d2402efea2022cd333b72653673c3615b49be9,4952008.431381077,0.9030801976072674,0.0053307639889771654
0x2e85ae1c47602f7927bcabc2ff99c40aa222ae15,0,0,
0xd13cfd3133239a3c73a9e535a5c4dadee36b395c,0,0,
0x85a7d0e79915cff0703e291acecffbe629cc4d3c,2011621.7524760643,0.35423339973685825,0.15934084996907086
0x66bff0d18513c648690edcdf5993c9da8c632ec8,0,0,
0x956220463de0e1d7e3d5da4ab1f8ca15e1e0ab0b,2506131.2814715193,0.9996065621717783,0.00490880110217687
0xd5630563291ffd7ac9a158ed7d321ac0e9d58b35,5075419.426236938,0.9999996115604374,0.026282725585486402
0xc62be2e13f8b5aa9d48c5ebdab9a7b7d1ce1e722,5138564.741616559,0.9999853430246418,0.016842124197075477
0xd3132c17981f3d03a2a552b1ac083f96214eae63,3139525.76281039,0.9958354811611309,0.0628146816862485
0x5bbbf77770128bbe9c1ef5d9179dd7ab11c4b1a8,7892597.617943389,0.635872757146254,0.003524239420566696
0x19261e84f7a3765bcfd49092eabc71985ac49b43,2297520.2808996984,1,0.014732069768907365
0x70bb8bcfafcf60446d5071d4427da8e99f0168aa,0,0,
0xc2842431fb36d89b7e7c857eda3baf9b36c1b7a3,592141.7354347606,0.14076026000023992,0.005267291265269621
0x1456688345527be1f37e9e627da0837d6f08c925,0,0,
0xd7f15d81f96a539795d6e5f983ed51efb68f5041,7795447.455446905,0.9962105088059776,0.003214802469877213
0x80122c6a83c8202ea365233363d3f4837d13e888,0,0,
0xe88baab9192a3cb2c0a50182ab911506e5adc304,3173481.641129229,0.18637257734144907,0.012734266107105863
0x6f222e04f6c53cc688ffb0abe7206aac66a8ff98,0,0,
0x62359ed7505efc61ff1d56fef82158ccaffa23d7,0,0,
0x4c3e9772698084b00b413106723e700797921c6b,1021795.0523756054,0.051478939930545406,0.012337846670633071
0x303edd4558e28ebc1ce0fa3bdfe9598b45f84deb,883147.169217483,0.41780449683452187,0.0033882089395659166
0x72ccda6bccc4703af566f5cfde258fd83dc29d4d,7488454.5058597205,0.9095584389471413,0.0036040741417594454
0x8bbf486a9f2b535c4ef09c665a807859cfe92d83,0,0,
0xac8f9e61daadf7e0fed4125cf6b9e647367bf90d,1441502.239353178,0.4966848109638654,0.0075571523406440175
0xdd5b43ffe2b2b1abc0d3e5586a60b0b78c0590d0,3025021.4369183406,0.9999592027438027,0.02869999036970888
0xec67005c4e498ec7f55e092bd1d35cbc47c91892,0,0,
0x9706da24b1a3028a96720914d768ca12fa519cdd,2548467.426732043,0.4239595998301691,0.00145483082974797
0x8d548dbc4c689cfa5e5925d52b9ac358b3913653,1837023.5734479195,0.2975525769179739,0.005284582580071195
0x1e8e148055cbd5a02ea75eed79da7ce4b91108b9,205975.37687447062,0.03550666594101766,0.010051975870562127
0xaeb3607ec434454ceb308f5cd540875efb54309a,0,0,
0x69ca61398eca94d880393522c1ef5c3d8c058837,3652988.842397069,0.318623241847228,0.008196432172952808
0xae12e59f38ce475d7b09f0f0245e8ed58a50d14c,3186754.447339974,1,0.014621161116274645
0x669bb3297c290efd0b4d839578d2cc610d587fcb,4735957.871785357,0.9468291071624776,0.011129985033352082
0x5564509bf2231e8901cdeedb69ef329918a8f036,2670543.7025433253,0.9990626273083856,0.04482287417044392
