date,open,high,low,close,volume_btc,volume_usd,log_ret,abs_log_ret
2025-08-19,116292.15,116789.95,112738.04,112870.67,26286.85,3006851749.91,-0.029862909413628673,0.029862909413628673
2025-08-20,112870.67,114642.26,112387.14,114291.37,22978.24,2610717313.9,0.012508414905627388,0.012508414905627388
2025-08-21,114291.37,114816.84,111993.84,112491.84,19947.31,2256735254.8,-0.015870379207675946,0.015870379207675946
2025-08-22,112491.84,117428.1,111675.14,116909.79,28375.72,3261042644.22,0.03852192608311376,0.03852192608311376
2025-08-23,116909.79,117003.31,114533.54,115391.76,8271.23,955311763.7,-0.013069664051785298,0.013069664051785298
2025-08-24,115391.76,115626.28,110860.71,113486.67,17025.82,1932434686.25,-0.016647562621460225,0.016647562621460225
2025-08-25,113486.67,113648.57,109292.22,110150.15,33305.33,3708998747.39,-0.029840950063523768,0.029840950063523768
2025-08-26,110150.15,112407.53,108701.29,111805.93,27215.82,2999152225.36,0.014920165432451876,0.014920165432451876
2025-08-27,111805.93,112669.11,110381.63,111276.98,21850.84,2440706983.66,-0.004742191961444971,0.004742191961444971
2025-08-28,111276.98,113487.65,110887.39,112582.21,16865.13,1898278605.83,0.011661301830370034,0.011661301830370034
2025-08-29,112582.21,112646.73,107512.41,108393.15,29122.98,3185827654.7,-0.03791881520125768,0.03791881520125768
2025-08-30,108393.15,108937.23,107381.29,108833.53,9682.99,1049906247.96,0.004054571964217981,0.004054571964217981
2025-08-31,108833.53,109510.25,108095.95,108273.72,9099.54,990157824.59,-0.005157001810514022,0.005157001810514022
2025-09-01,108273.72,109913.29,107271.39,109256.28,21783.85,2365084072.12,0.009033849880513305,0.009033849880513305
2025-09-02,109256.28,111796.23,108420.77,111245.94,27112.92,2993969175.78,0.018047110837237756,0.018047110837237756
2025-09-03,111245.94,112601.73,110556.54,111751.51,19087.45,2132239039.57,0.004534319708247442,0.004534319708247442
2025-09-04,111751.51,112225.93,109345.22,110732.33,19577.2,2162838407.83,-0.00916189804334585,0.00916189804334585
2025-09-05,110732.33,113400.39,110217.27,110676.99,28328.28,3163045481.16,-0.0004998886329843419,0.0004998886329843419
2025-09-06,110676.99,111320.3,110019.89,110230.16,6640.6,734143439.06,-0.004045415545659369,0.004045415545659369
2025-09-07,110230.16,111607.85,110215.7,111143.24,6492.41,720954382.33,0.008249276362573688,0.008249276362573688
2025-09-08,111143.24,112937.76,110628.16,112089.06,16345.84,1829788896.49,0.008473914032320047,0.008473914032320047
2025-09-09,112089.06,113293.12,110777.59,111549.14,18844.58,2108163610.41,-0.004828522578007935,0.004828522578007935
2025-09-10,111549.14,114341.92,110940.58,113988.2,23523.08,2661952161.9,0.02162972296362845,0.02162972296362845
2025-09-11,113988.2,115543.74,113457.52,115537.84,18345.68,2096575532.81,0.0135031610889027,0.0135031610889027
2025-09-12,115537.84,116816.49,114785.3,116116.26,20842.83,2412089976.27,0.004993835223045629,0.004993835223045629
2025-09-13,116116.26,116361.05,115207.42,115971.92,7083.57,820638135.29,-0.0012438377396851244,0.0012438377396851244
2025-09-14,115971.92,116227.37,115203.8,115351.87,7290.45,843593558.49,-0.0053608968189434334,0.0053608968189434334
2025-09-15,115351.87,116808.07,114427.7,115401.06,18559.61,2137738674.14,0.00042634345527144596,0.00042634345527144596
2025-09-16,115401.06,117006.56,114765.74,116838.31,16305.16,1890323067.86,0.012377473716597337,0.012377473716597337
2025-09-17,116838.31,117331.11,114742.84,116488.17,23702.53,2750924037.55,-0.0030012904050231693,0.0030012904050231693
2025-09-18,116488.17,117981.11,116134.78,117126.46,19195.15,2253362090.44,0.005464483010401024,0.005464483010401024
2025-09-19,117126.46,117510.96,115150.85,115701.97,16753.48,1947524484.47,-0.012236544947621485,0.012236544947621485
2025-09-20,115701.97,116202.27,115488.37,115756.07,5995.45,694697640.09,0.0004674713480267114,0.0004674713480267114
2025-09-21,115756.07,115900.98,115262.9,115299.83,5422.99,626782372.11,-0.003949179336778956,0.003949179336778956
2025-09-22,115299.83,115439.04,112027.44,112747.85,28253.02,3197786129.9,-0.022382043394520493,0.022382043394520493
2025-09-23,112747.85,113372.59,111518.32,112043.66,18488.69,2080069063.95,-0.006265292701802234,0.006265292701802234
2025-09-24,112043.66,114013.4,111118.7,113360.69,17597.56,1988342351.86,0.011686065403972611,0.011686065403972611
2025-09-25,113360.69,113559.7,108664.26,109061.11,34940.33,3874673081.63,-0.03866631483715072,0.03866631483715072
2025-09-26,109061.11,110387.27,108695.14,109723.94,27943.91,3057709370.2,0.006059207682856101,0.006059207682856101
2025-09-27,109723.94,109822.37,109156.33,109727.42,7105.98,778286679.14,3.171545622033994e-05,3.171545622033994e-05
2025-09-28,109727.42,112406.99,109280.14,112226.65,11935.68,1316899924.45,0.022521196697353245,0.022521196697353245
2025-09-29,112226.65,114496.59,111625.37,114407.08,19529.19,2209223703.69,0.019242477976310724,0.019242477976310724
2025-09-30,114407.08,114866.53,112727.79,114078.18,22976.41,2612642606.56,-0.002878962320561699,0.002878962320561699
2025-10-01,114078.18,118722.74,114004.91,118666.73,28249.14,3288729604.9,0.03943497306960967,0.03943497306960967
2025-10-02,118666.73,121107.24,118356.65,120630.71,27985.21,3348607182.92,0.016414919434720975,0.016414919434720975
2025-10-03,120630.71,123996.37,119348.63,122318.86,35664.64,4338240508.78,0.013897346434138882,0.013897346434138882
2025-10-04,122318.86,122898.15,121598.23,122455.39,9977.25,1218962839.87,0.00111555863542803,0.00111555863542803
2025-10-05,122455.39,125748.81,122213.36,123535.21,21834.57,2703677561.24,0.00877941625304698,0.00877941625304698
2025-10-06,123535.21,126287.29,123143.47,124723.0,27874.8,3478551798.53,0.009569061691945465,0.009569061691945465
2025-10-07,124723.0,125225.23,120661.76,121414.53,29039.6,3568433457.82,-0.026884719892268785,0.026884719892268785
2025-10-08,121414.53,124254.95,121116.33,123358.65,25262.59,3098621661.77,0.015885407726716365,0.015885407726716365
2025-10-09,123358.65,123818.95,119741.93,121713.94,26848.29,3266509707.34,-0.013422428780989686,0.013422428780989686
2025-10-10,121713.94,122586.57,105833.75,112998.91,63865.23,7411664103.33,-0.07429536474626337,0.07429536474626337
2025-10-11,112998.91,113462.03,109711.01,110779.65,38127.92,4260858251.85,-0.019835079463208418,0.019835079463208418
2025-10-12,110779.65,115849.48,109708.26,115084.73,36833.57,4154852090.6,0.03812554649597641,0.03812554649597641
2025-10-13,115084.73,116064.34,113754.71,115279.04,30207.33,3475980079.05,0.001686984425393835,0.001686984425393835
2025-10-14,115279.04,115514.54,109983.29,113097.76,39286.64,4415300609.88,-0.0191030466622109,0.0191030466622109
2025-10-15,113097.76,113679.91,110229.66,110819.47,30171.93,3370232022.3,-0.02035009654653104,0.02035009654653104
2025-10-16,110819.47,112027.41,107501.51,108212.4,44973.38,4931780713.35,-0.023806518463731524,0.023806518463731524
2025-10-17,108212.4,109278.91,103552.05,106485.41,48249.26,5124514044.62,-0.01608798197420504,0.01608798197420504
2025-10-18,106485.41,107544.75,106382.73,107228.76,11815.48,1263875181.71,0.006956515777584739,0.006956515777584739
2025-10-19,107228.76,109508.08,106146.21,108701.79,18116.25,1956837354.37,0.013643765095698694,0.013643765095698694
2025-10-20,108701.79,111743.25,107486.38,110583.29,27390.05,3024980668.92,0.017160731349904226,0.017160731349904226
2025-10-21,110583.29,114069.11,107500.34,108387.11,40819.23,4507488183.36,-0.020059822186883264,0.020059822186883264
2025-10-22,108387.11,109181.59,106750.91,107604.16,34388.98,3715585780.1,-0.007249861805529189,0.007249861805529189
2025-10-23,107604.16,111341.37,107527.17,110114.95,22351.32,2450418378.51,0.02306551146963039,0.02306551146963039
2025-10-24,110114.95,111967.35,109742.29,111046.29,19795.99,2193655220.33,0.008422321247751177,0.008422321247751177
2025-10-25,111046.29,111960.99,110709.35,111671.84,5949.66,663139261.5,0.005617429034282236,0.005617429034282236
