token_symbol,token_address,taxonomy,actually_fraud,confidence,consensus_votes,suspicion_score,p_fraud,p_fraud_loo
ETH+,0xe72b141df173b999ae7c1adcbf60cc9833ce56a8,BENIGN,No,HIGH,0,0.871,,0.09
SACKS,0x3159be471e1d793249f3f3a2d370019a99643e7b,NORMAL,No,LOW,0,0.87,,0.23
MAYNU,0x0eeb428e02442be1e6a76451082a62e2b2b404e7,FRAUD,Yes,MEDIUM,1,0.862,,0.88
HYPER,0x208042a2012812f189e4e696e05f08eadb883404,NORMAL,No,MEDIUM,0,0.859,,0.136
AUSD,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,BENIGN,No,HIGH,0,0.855,,0.049
MLN,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,NORMAL,No,HIGH,0,0.85,,0.016
RESOLV,0x259338656198ec7a76c729514d3cb45dfbf768a1,NORMAL,No,HIGH,0,0.849,,0.017
FBTC,0xc96de26018a54d51c097160568752c4e3bd6c364,BENIGN,No,HIGH,0,0.846,,0.062
BITDOGE,0x990fa49225c58015ca0eb51e720309e8d7600348,NORMAL,No,LOW,0,0.844,,0.23
WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,BUG,No,HIGH,0,0.842,,0.011
MIND,0x2a179bfab23c71c733864776bea6e0dab9ecd79e,NORMAL,No,LOW,0,0.841,,0.197
SPHERUM,0xdf8afabaccffa9ffa77f27139b32f8ec59fe6391,FRAUD,Yes,MEDIUM,1,0.826,,0.887
ORBDEG,0xfd1e77a4e83b896abc55ad11f337e71acdea19bf,FRAUD,Yes,MEDIUM,1,0.826,,0.887
ORBS,0xffe615163ef49963f1bc51ac49ca46120a4b2cef,FRAUD,Yes,MEDIUM,1,0.825,,0.887
rsETH,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,HACK,No,HIGH,0,0.825,,0.047
RAIL,0xe76c6c83af64e4c60245d8c7de953df673a7a33d,NORMAL,No,HIGH,0,0.824,,0.013
puppies,0xcf91b70017eabde82c9671e30e5502d312ea6eb2,NORMAL,No,HIGH,0,0.82,,0.01
OSMI,0xb5ff6c64228b8bfff6d7405910976bd45d3d0ab1,NORMAL,No,LOW,0,0.815,,0.198
deUSD,0x15700b564ca08d9439c58ca5053166e8317aa138,BENIGN,No,HIGH,0,0.811,,0.034
syrupUSDC,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,BENIGN,No,HIGH,0,0.808,,0.02
PEPE,0x6a82b057425fb4396793bd163e6a7b87963efe83,NORMAL,No,LOW,0,0.801,,0.206
beraSTONE,0x97ad75064b20fb2b2447fed4fa953bf7f007a706,BENIGN,No,HIGH,0,0.797,,0.016
Block,0xcab84bc21f9092167fcfe0ea60f5ce053ab39a1e,NORMAL,No,MEDIUM,0,0.795,,0.046
crvFRAX,0x3175df0976dfa876431c2e9ee6bc45b65d3473cc,BENIGN,No,HIGH,0,0.792,,0.031
XLON,0x36ff4dae0e88113d68b1209e245b0e3af92e9d58,NORMAL,No,MEDIUM,0,0.79,,0.28
AZTEC,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,NORMAL,No,HIGH,0,0.785,,0.31
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,NORMAL,No,HIGH,0,0.772,,0.022
POCHITA,0x20b2dc1025787cd275da0835d1b97d2aac886375,NORMAL,No,MEDIUM,0,0.76,,0.297
MARIE,0xe8ca586752dced42e3d8776efb298f552dfbee04,NORMAL,No,MEDIUM,0,0.758,,0.29
SYRUP,0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,NORMAL,No,HIGH,0,0.754,,0.016
CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,NORMAL,No,HIGH,0,0.751,,0.018
AIGPU,0x6406ad0d2094b7730ae62ac72cb3583f986fa2b6,NORMAL,No,LOW,0,0.743,,0.295
CAPE,0x952e8d7a88b8a58c2d2bc0aa36d3a8b74fcfb8c3,NORMAL,No,LOW,0,0.739,,0.259
BODHI,0xe3538c96a4ff1454cf267e5a50987d7a4bb72d2a,NORMAL,No,MEDIUM,0,0.73,,0.298
MAXI,0x9796b9e60587495d27eb251a832c1d397fc2e028,NORMAL,No,MEDIUM,0,0.729,,0.293
